departure_time,destination,delay,station_name
2020-11-15 22:58:00,Flughafen München,2,Neuaubing
2020-11-16 04:38:00,Flughafen München,0,Neuaubing
2020-11-15 21:23:00,Flughafen München,4,Gilching-Argelsried
2020-11-15 22:03:00,Flughafen München,1,Gilching-Argelsried
2020-11-15 22:43:00,Flughafen München,5,Gilching-Argelsried
2020-11-16 00:03:00,Flughafen München,8,Gilching-Argelsried
2020-11-15 23:23:00,Flughafen München,4,Gilching-Argelsried
2020-11-15 23:38:00,Flughafen München,0,Neuaubing
2020-11-16 00:18:00,Flughafen München,2,Neuaubing
2020-11-16 03:58:00,Flughafen München,0,Neuaubing
2020-11-16 04:18:00,Flughafen München,0,Neuaubing
2020-11-16 05:38:00,Flughafen München,0,Neuaubing
2020-11-16 05:03:00,Flughafen München,1,Gilching-Argelsried
2020-11-16 04:03:00,Flughafen München,2,Gilching-Argelsried
2020-11-16 05:23:00,Flughafen München,2,Gilching-Argelsried
2020-11-16 06:34:00,Flughafen München,0,Harthaus
2020-11-16 09:53:00,Flughafen München,2,Englschalking
2020-11-15 21:45:00,Flughafen München,0,Herrsching
2020-11-15 22:25:00,Flughafen München,0,Herrsching
2020-11-15 23:05:00,Flughafen München,0,Herrsching
2020-11-15 23:45:00,Flughafen München,0,Herrsching
2020-11-16 03:25:00,Flughafen München,0,Herrsching
2020-11-16 03:45:00,Flughafen München,0,Herrsching
2020-11-16 04:25:00,Flughafen München,0,Herrsching
2020-11-16 04:45:00,Flughafen München,0,Herrsching
2020-11-16 05:05:00,Flughafen München,0,Herrsching
2020-11-16 05:25:00,Flughafen München,0,Herrsching
2020-11-15 21:36:00,Flughafen München,1,Freiham
2020-11-15 22:16:00,Flughafen München,0,Freiham
2020-11-15 22:56:00,Flughafen München,3,Freiham
2020-11-16 05:45:00,Flughafen München,0,Herrsching
2020-11-16 06:05:00,Flughafen München,0,Herrsching
2020-11-16 06:25:00,Flughafen München,0,Herrsching
2020-11-15 22:41:00,Flughafen München,5,Neugilching
2020-11-15 21:21:00,Flughafen München,4,Neugilching
2020-11-16 00:01:00,Flughafen München,9,Neugilching
2020-11-15 22:01:00,Flughafen München,5,Neugilching
2020-11-15 23:21:00,Flughafen München,4,Neugilching
2020-11-16 05:21:00,Flughafen München,1,Neugilching
2020-11-16 03:41:00,Flughafen München,0,Neugilching
2020-11-16 04:01:00,Flughafen München,2,Neugilching
2020-11-16 04:41:00,Flughafen München,1,Neugilching
2020-11-16 05:01:00,Flughafen München,0,Neugilching
2020-11-16 05:16:00,Flughafen München,3,Freiham
2020-11-16 00:13:00,Flughafen München,0,Englschalking
2020-11-16 05:33:00,Flughafen München,1,Englschalking
2020-11-16 04:53:00,Flughafen München,0,Englschalking
2020-11-16 07:10:00,Flughafen München,0,Seefeld-Hechendorf
2020-11-15 21:33:00,Flughafen München,7,Englschalking
2020-11-15 21:53:00,Flughafen München,1,Steinebach
2020-11-15 23:10:00,Flughafen München,0,Hirschgarten
2020-11-15 22:53:00,Flughafen München,1,Englschalking
2020-11-15 23:13:00,Flughafen München,4,Steinebach
2020-11-15 23:33:00,Flughafen München,0,Englschalking
2020-11-15 23:53:00,Flughafen München,10,Steinebach
2020-11-16 01:53:00,Flughafen München,1,Englschalking
2020-11-16 00:53:00,Flughafen München,7,Englschalking
2020-11-16 02:33:00,Flughafen München,0,Englschalking
2020-11-16 03:33:00,Flughafen München,0,Englschalking
2020-11-16 03:33:00,Flughafen München,1,Steinebach
2020-11-16 03:13:00,Flughafen München,0,Englschalking
2020-11-16 04:33:00,Flughafen München,9,Englschalking
2020-11-16 03:53:00,Flughafen München,0,Englschalking
2020-11-16 03:53:00,Flughafen München,3,Steinebach
2020-11-16 04:13:00,Flughafen München,0,Englschalking
2020-11-16 04:33:00,Flughafen München,1,Steinebach
2020-11-16 05:13:00,Flughafen München,0,Englschalking
2020-11-16 04:34:00,Flughafen München,0,Harthaus
2020-11-16 05:33:00,Flughafen München,3,Steinebach
2020-11-15 21:31:00,Flughafen München,10,Daglfing
2020-11-16 03:54:00,Flughafen München,0,Harthaus
2020-11-15 22:14:00,Flughafen München,2,Harthaus
2020-11-15 22:11:00,Flughafen München,3,Daglfing
2020-11-15 22:54:00,Flughafen München,4,Harthaus
2020-11-15 23:31:00,Flughafen München,0,Daglfing
2020-11-15 23:34:00,Flughafen München,2,Harthaus
2020-11-16 00:14:00,Flughafen München,5,Harthaus
2020-11-16 04:14:00,Flughafen München,0,Harthaus
2020-11-16 04:54:00,Flughafen München,0,Harthaus
2020-11-16 04:53:00,Flughafen München,1,Steinebach
2020-11-16 05:13:00,Flughafen München,1,Steinebach
2020-11-16 05:34:00,Flughafen München,1,Harthaus
2020-11-16 00:11:00,Flughafen München,0,Daglfing
2020-11-16 05:11:00,Flughafen München,1,Daglfing
2020-11-15 22:18:00,Flughafen München,4,Unterföhring
2020-11-15 21:38:00,Flughafen München,8,Unterföhring
2020-11-15 21:35:00,Flughafen München,9,Johanneskirchen
2020-11-15 23:38:00,Flughafen München,2,Unterföhring
2020-11-15 23:35:00,Flughafen München,3,Johanneskirchen
2020-11-15 22:58:00,Flughafen München,3,Unterföhring
2020-11-16 00:51:00,Flughafen München,8,Daglfing
2020-11-16 00:18:00,Flughafen München,1,Unterföhring
2020-11-16 01:51:00,Flughafen München,2,Daglfing
2020-11-16 00:58:00,Flughafen München,6,Unterföhring
2020-11-16 01:58:00,Flughafen München,1,Unterföhring
2020-11-16 02:38:00,Flughafen München,0,Unterföhring
2020-11-16 02:31:00,Flughafen München,1,Daglfing
2020-11-16 02:51:00,Flughafen München,2,Daglfing
2020-11-16 03:31:00,Flughafen München,1,Daglfing
2020-11-16 03:11:00,Flughafen München,2,Daglfing
2020-11-16 03:18:00,Flughafen München,1,Unterföhring
2020-11-16 03:51:00,Flughafen München,0,Daglfing
2020-11-16 04:31:00,Flughafen München,9,Daglfing
2020-11-16 04:11:00,Flughafen München,0,Daglfing
2020-11-16 04:51:00,Flughafen München,0,Daglfing
2020-11-16 08:00:00,Flughafen München,0,Westkreuz
2020-11-15 22:05:00,Flughafen München,1,Geisenbrunn
2020-11-15 22:45:00,Flughafen München,5,Geisenbrunn
2020-11-16 03:38:00,Flughafen München,1,Unterföhring
2020-11-16 03:58:00,Flughafen München,2,Unterföhring
2020-11-16 04:38:00,Flughafen München,9,Unterföhring
2020-11-16 05:05:00,Flughafen München,2,Geisenbrunn
2020-11-15 21:42:00,Flughafen München,8,Ismaning
2020-11-15 23:25:00,Flughafen München,3,Geisenbrunn
2020-11-16 00:05:00,Flughafen München,8,Geisenbrunn
2020-11-16 04:05:00,Flughafen München,1,Geisenbrunn
2020-11-16 03:45:00,Flughafen München,0,Geisenbrunn
2020-11-16 04:45:00,Flughafen München,1,Geisenbrunn
2020-11-16 06:05:00,Flughafen München,3,Geisenbrunn
2020-11-16 05:25:00,Flughafen München,2,Geisenbrunn
2020-11-16 05:45:00,Flughafen München,4,Geisenbrunn
2020-11-16 09:18:00,Flughafen München,0,Unterföhring
2020-11-15 21:22:00,Flughafen München,3,Rosenheimer Platz
2020-11-15 23:42:00,Flughafen München,2,Ismaning
2020-11-15 23:02:00,Flughafen München,2,Ismaning
2020-11-16 00:22:00,Flughafen München,2,Ismaning
2020-11-16 02:02:00,Flughafen München,1,Ismaning
2020-11-16 02:42:00,Flughafen München,0,Ismaning
2020-11-16 03:02:00,Flughafen München,1,Ismaning
2020-11-16 03:22:00,Flughafen München,0,Ismaning
2020-11-16 03:42:00,Flughafen München,1,Ismaning
2020-11-16 05:20:00,Flughafen München,0,Isartor
2020-11-16 04:31:00,Flughafen München,0,Germering-Unterpfaffenhofen
2020-11-15 21:26:00,Flughafen München,1,Leuchtenbergring
2020-11-15 21:53:00,Flughafen München,7,Flughafen Besucherpark
2020-11-15 22:11:00,Flughafen München,0,Germering-Unterpfaffenhofen
2020-11-15 23:31:00,Flughafen München,3,Germering-Unterpfaffenhofen
2020-11-16 00:11:00,Flughafen München,7,Germering-Unterpfaffenhofen
2020-11-16 03:51:00,Flughafen München,0,Germering-Unterpfaffenhofen
2020-11-16 04:11:00,Flughafen München,1,Germering-Unterpfaffenhofen
2020-11-16 04:51:00,Flughafen München,1,Germering-Unterpfaffenhofen
2020-11-15 21:53:00,Flughafen München,0,Hackerbrücke
2020-11-15 21:50:00,Flughafen München,0,Hirschgarten
2020-11-15 21:48:00,Flughafen München,0,Laim
2020-11-16 03:13:00,Flughafen München,1,Flughafen Besucherpark
2020-11-15 22:46:00,Flughafen München,2,Leuchtenbergring
2020-11-16 05:14:00,Flughafen München,0,Harthaus
2020-11-15 21:25:00,Flughafen München,1,Geisenbrunn
2020-11-15 21:52:00,Flughafen München,0,Donnersbergerbrücke
2020-11-15 21:45:00,Flughafen München,0,Pasing
2020-11-15 21:34:00,Flughafen München,1,Harthaus
2020-11-15 21:31:00,Flughafen München,2,Germering-Unterpfaffenhofen
2020-11-15 22:15:00,Flughafen München,5,Johanneskirchen
2020-11-15 22:22:00,Flughafen München,3,Ismaning
2020-11-15 22:06:00,Flughafen München,3,Leuchtenbergring
2020-11-15 22:13:00,Flughafen München,5,Englschalking
2020-11-15 23:13:00,Flughafen München,0,Flughafen Besucherpark
2020-11-15 22:00:00,Flughafen München,0,Isartor
2020-11-15 21:59:00,Flughafen München,0,Marienplatz
2020-11-15 22:02:00,Flughafen München,3,Rosenheimer Platz
2020-11-16 00:15:00,Flughafen München,2,Johanneskirchen
2020-11-16 04:02:00,Flughafen München,1,Ismaning
2020-11-15 21:55:00,Flughafen München,1,Hauptbahnhof
2020-11-16 09:57:00,Flughafen München,0,Weßling
2020-11-15 22:30:00,Flughafen München,5,Seefeld-Hechendorf
2020-11-16 00:16:00,Flughafen München,5,Freiham
2020-11-16 05:43:00,Flughafen München,3,Gilching-Argelsried
2020-11-15 21:57:00,Flughafen München,0,Karlsplatz
2020-11-16 05:51:00,Flughafen München,1,Daglfing
2020-11-16 05:53:00,Flughafen München,2,Englschalking
2020-11-16 06:15:00,Flughafen München,2,Johanneskirchen
2020-11-15 22:04:00,Flughafen München,3,Ostbahnhof München
2020-11-15 23:40:00,Flughafen München,1,Westkreuz
2020-11-16 06:14:00,Flughafen München,0,Harthaus
2020-11-16 05:53:00,Flughafen München,2,Steinebach
2020-11-16 03:48:00,Flughafen München,1,Hallbergmoos
2020-11-16 04:22:00,Flughafen München,0,Ismaning
2020-11-16 06:25:00,Flughafen München,2,Geisenbrunn
2020-11-15 22:25:00,Flughafen München,0,Pasing
2020-11-16 00:07:00,Flughafen München,0,Leuchtenbergring
2020-11-15 22:30:00,Flughafen München,0,Hirschgarten
2020-11-15 22:28:00,Flughafen München,0,Laim
2020-11-15 22:33:00,Flughafen München,5,Steinebach
2020-11-16 05:37:00,Flughafen München,3,Weßling
2020-11-15 22:33:00,Flughafen München,0,Hackerbrücke
2020-11-16 04:30:00,Flughafen München,0,Hallbergmoos
2020-11-15 22:51:00,Flughafen München,4,Germering-Unterpfaffenhofen
2020-11-16 00:33:00,Flughafen München,2,Flughafen Besucherpark
2020-11-16 01:55:00,Flughafen München,1,Johanneskirchen
2020-11-15 22:32:00,Flughafen München,0,Donnersbergerbrücke
2020-11-16 05:30:00,Flughafen München,0,Hirschgarten
2020-11-16 02:35:00,Flughafen München,0,Johanneskirchen
2020-11-16 00:20:00,Flughafen München,5,Westkreuz
2020-11-16 01:13:00,Flughafen München,5,Flughafen Besucherpark
2020-11-16 02:13:00,Flughafen München,0,Flughafen Besucherpark
2020-11-16 06:45:00,Flughafen München,1,Geisenbrunn
2020-11-16 07:39:00,Flughafen München,0,Marienplatz
2020-11-16 05:19:00,Flughafen München,0,Marienplatz
2020-11-15 22:40:00,Flughafen München,2,Isartor
2020-11-15 22:42:00,Flughafen München,2,Rosenheimer Platz
2020-11-16 02:55:00,Flughafen München,1,Johanneskirchen
2020-11-16 03:56:00,Flughafen München,0,Freiham
2020-11-15 22:39:00,Flughafen München,0,Marienplatz
2020-11-15 22:37:00,Flughafen München,0,Karlsplatz
2020-11-15 22:35:00,Flughafen München,1,Hauptbahnhof
2020-11-16 00:46:00,Flughafen München,8,Leuchtenbergring
2020-11-16 02:53:00,Flughafen München,1,Flughafen Besucherpark
2020-11-16 03:15:00,Flughafen München,0,Johanneskirchen
2020-11-16 04:16:00,Flughafen München,0,Freiham
2020-11-16 04:08:00,Flughafen München,1,Hallbergmoos
2020-11-16 06:13:00,Flughafen München,5,Englschalking
2020-11-16 11:25:00,Flughafen München,0,Herrsching
2020-11-16 03:35:00,Flughafen München,0,Johanneskirchen
2020-11-16 06:11:00,Flughafen München,6,Daglfing
2020-11-16 04:58:00,Flughafen München,1,Unterföhring
2020-11-16 04:36:00,Flughafen München,0,Freiham
2020-11-15 22:35:00,Flughafen München,0,Flughafen Besucherpark
2020-11-15 22:44:00,Flughafen München,2,Ostbahnhof München
2020-11-16 01:46:00,Flughafen München,1,Leuchtenbergring
2020-11-16 03:06:00,Flughafen München,1,Leuchtenbergring
2020-11-16 06:21:00,Flughafen München,2,Neugilching
2020-11-15 23:08:00,Flughafen München,0,Laim
2020-11-15 23:13:00,Flughafen München,0,Hackerbrücke
2020-11-15 23:00:00,Flughafen München,2,Westkreuz
2020-11-15 23:05:00,Flughafen München,1,Pasing
2020-11-16 04:00:00,Flughafen München,1,Westkreuz
2020-11-15 22:55:00,Flughafen München,3,Johanneskirchen
2020-11-15 22:51:00,Flughafen München,2,Daglfing
2020-11-15 23:53:00,Flughafen München,2,Flughafen Besucherpark
2020-11-15 23:26:00,Flughafen München,0,Leuchtenbergring
2020-11-15 23:12:00,Flughafen München,0,Donnersbergerbrücke
2020-11-16 03:55:00,Flughafen München,1,Johanneskirchen
2020-11-16 04:42:00,Flughafen München,9,Ismaning
2020-11-16 06:13:00,Flughafen München,2,Steinebach
2020-11-15 23:20:00,Flughafen München,0,Isartor
2020-11-15 23:19:00,Flughafen München,0,Marienplatz
2020-11-15 23:22:00,Flughafen München,0,Rosenheimer Platz
2020-11-16 03:46:00,Flughafen München,1,Leuchtenbergring
2020-11-16 06:03:00,Flughafen München,2,Gilching-Argelsried
2020-11-15 23:15:00,Flughafen München,1,Hauptbahnhof
2020-11-15 23:17:00,Flughafen München,0,Karlsplatz
2020-11-15 23:51:00,Flughafen München,0,Hirschgarten
2020-11-16 04:56:00,Flughafen München,1,Freiham
2020-11-16 06:33:00,Flughafen München,3,Englschalking
2020-11-16 03:35:00,Flughafen München,0,Flughafen Besucherpark
2020-11-15 23:24:00,Flughafen München,0,Ostbahnhof München
2020-11-16 04:20:00,Flughafen München,1,Westkreuz
2020-11-16 05:22:00,Flughafen München,3,Rosenheimer Platz
2020-11-16 04:06:00,Flughafen München,0,Leuchtenbergring
2020-11-16 06:31:00,Flughafen München,4,Daglfing
2020-11-16 07:05:00,Flughafen München,0,Geisenbrunn
2020-11-16 06:45:00,Flughafen München,0,Herrsching
2020-11-16 11:17:00,Flughafen München,0,Karlsplatz
2020-11-15 23:45:00,Flughafen München,0,Pasing
2020-11-16 03:53:00,Flughafen München,1,Flughafen Besucherpark
2020-11-15 23:54:00,Flughafen München,0,Hackerbrücke
2020-11-16 04:15:00,Flughafen München,1,Johanneskirchen
2020-11-16 04:48:00,Flughafen München,8,Hallbergmoos
2020-11-15 23:49:00,Flughafen München,0,Laim
2020-11-15 23:53:00,Flughafen München,0,Donnersbergerbrücke
2020-11-16 00:00:00,Flughafen München,0,Marienplatz
2020-11-15 23:36:00,Flughafen München,1,Freiham
2020-11-16 06:10:00,Flughafen München,1,Seefeld-Hechendorf
2020-11-16 07:25:00,Flughafen München,3,Geisenbrunn
2020-11-16 20:37:00,Flughafen München,0,Karlsplatz
2020-11-16 00:01:00,Flughafen München,0,Isartor
2020-11-16 00:03:00,Flughafen München,0,Rosenheimer Platz
2020-11-15 23:56:00,Flughafen München,0,Hauptbahnhof
2020-11-16 07:35:00,Flughafen München,0,Hauptbahnhof
2020-11-16 07:21:00,Flughafen München,1,Neugilching
2020-11-16 00:30:00,Flughafen München,1,Hirschgarten
2020-11-16 04:40:00,Flughafen München,1,Westkreuz
2020-11-15 23:58:00,Flughafen München,0,Karlsplatz
2020-11-16 00:25:00,Flughafen München,3,Pasing
2020-11-16 04:35:00,Flughafen München,9,Johanneskirchen
2020-11-16 00:28:00,Flughafen München,2,Laim
2020-11-16 06:18:00,Flughafen München,0,Neuaubing
2020-11-16 06:51:00,Flughafen München,6,Daglfing
2020-11-16 06:53:00,Flughafen München,5,Englschalking
2020-11-16 05:02:00,Flughafen München,1,Ismaning
2020-11-16 00:05:00,Flughafen München,0,Ostbahnhof München
2020-11-16 05:15:00,Flughafen München,0,Hauptbahnhof
2020-11-16 00:39:00,Flughafen München,0,Marienplatz
2020-11-16 00:42:00,Flughafen München,2,Rosenheimer Platz
2020-11-16 04:13:00,Flughafen München,1,Flughafen Besucherpark
2020-11-16 04:26:00,Flughafen München,9,Leuchtenbergring
2020-11-16 06:41:00,Flughafen München,2,Neugilching
2020-11-16 05:08:00,Flughafen München,1,Hallbergmoos
2020-11-16 01:25:00,Flughafen München,0,Pasing
2020-11-16 02:05:00,Flughafen München,0,Pasing
2020-11-16 01:39:00,Flughafen München,0,Marienplatz
2020-11-16 01:42:00,Flughafen München,1,Rosenheimer Platz
2020-11-16 07:50:00,Flughafen München,2,Hirschgarten
2020-11-16 05:57:00,Flughafen München,2,Weßling
2020-11-16 01:30:00,Flughafen München,0,Hirschgarten
2020-11-16 01:28:00,Flughafen München,0,Laim
2020-11-16 02:45:00,Flughafen München,0,Pasing
2020-11-16 02:08:00,Flughafen München,0,Laim
2020-11-16 02:10:00,Flughafen München,0,Hirschgarten
2020-11-16 02:48:00,Flughafen München,0,Laim
2020-11-16 01:32:00,Flughafen München,0,Donnersbergerbrücke
2020-11-16 00:35:00,Flughafen München,1,Hauptbahnhof
2020-11-16 00:40:00,Flughafen München,0,Isartor
2020-11-16 00:32:00,Flughafen München,0,Donnersbergerbrücke
2020-11-16 01:33:00,Flughafen München,0,Hackerbrücke
2020-11-16 00:55:00,Flughafen München,7,Johanneskirchen
2020-11-16 01:02:00,Flughafen München,6,Ismaning
2020-11-16 02:13:00,Flughafen München,0,Hackerbrücke
2020-11-16 02:19:00,Flughafen München,0,Marienplatz
2020-11-16 02:22:00,Flughafen München,3,Rosenheimer Platz
2020-11-16 02:25:00,Flughafen München,2,Pasing
2020-11-16 06:33:00,Flughafen München,1,Steinebach
2020-11-16 02:12:00,Flughafen München,0,Donnersbergerbrücke
2020-11-16 05:00:00,Flughafen München,1,Westkreuz
2020-11-16 03:02:00,Flughafen München,0,Rosenheimer Platz
2020-11-16 03:28:00,Flughafen München,0,Laim
2020-11-16 02:50:00,Flughafen München,0,Hirschgarten
2020-11-16 03:25:00,Flughafen München,0,Pasing
2020-11-16 03:39:00,Flughafen München,0,Marienplatz
2020-11-16 02:52:00,Flughafen München,0,Donnersbergerbrücke
2020-11-16 03:45:00,Flughafen München,0,Pasing
2020-11-16 01:40:00,Flughafen München,0,Isartor
2020-11-16 01:35:00,Flughafen München,1,Hauptbahnhof
2020-11-16 02:15:00,Flughafen München,0,Hauptbahnhof
2020-11-16 02:20:00,Flughafen München,0,Isartor
2020-11-16 02:53:00,Flughafen München,0,Hackerbrücke
2020-11-16 02:55:00,Flughafen München,0,Hauptbahnhof
2020-11-16 02:59:00,Flughafen München,0,Marienplatz
2020-11-16 03:00:00,Flughafen München,0,Isartor
2020-11-16 03:05:00,Flughafen München,0,Pasing
2020-11-16 03:42:00,Flughafen München,4,Rosenheimer Platz
2020-11-16 03:32:00,Flughafen München,0,Donnersbergerbrücke
2020-11-16 05:36:00,Flughafen München,2,Freiham
2020-11-16 03:48:00,Flughafen München,0,Laim
2020-11-16 00:37:00,Flughafen München,0,Karlsplatz
2020-11-16 03:30:00,Flughafen München,0,Hirschgarten
2020-11-16 04:55:00,Flughafen München,0,Johanneskirchen
2020-11-16 03:40:00,Flughafen München,4,Isartor
2020-11-16 03:33:00,Flughafen München,1,Hackerbrücke
2020-11-16 05:05:00,Flughafen München,0,Pasing
2020-11-16 06:38:00,Flughafen München,0,Unterföhring
2020-11-16 08:36:00,Flughafen München,2,Freiham
2020-11-16 03:52:00,Flughafen München,0,Donnersbergerbrücke
2020-11-16 03:50:00,Flughafen München,0,Hirschgarten
2020-11-16 12:35:00,Flughafen München,0,Flughafen Besucherpark
2020-11-16 00:33:00,Flughafen München,0,Hackerbrücke
2020-11-16 03:59:00,Flughafen München,0,Marienplatz
2020-11-16 01:44:00,Flughafen München,1,Ostbahnhof München
2020-11-16 03:35:00,Flughafen München,2,Hauptbahnhof
2020-11-16 04:35:00,Flughafen München,2,Flughafen Besucherpark
2020-11-16 04:46:00,Flughafen München,1,Leuchtenbergring
2020-11-16 07:11:00,Flughafen München,8,Daglfing
2020-11-16 07:14:00,Flughafen München,1,Harthaus
2020-11-16 03:53:00,Flughafen München,0,Hackerbrücke
2020-11-16 05:30:00,Flughafen München,0,Hallbergmoos
2020-11-16 06:30:00,Flughafen München,0,Seefeld-Hechendorf
2020-11-16 04:00:00,Flughafen München,0,Isartor
2020-11-16 02:17:00,Flughafen München,0,Karlsplatz
2020-11-16 02:24:00,Flughafen München,3,Ostbahnhof München
2020-11-16 03:55:00,Flughafen München,1,Hauptbahnhof
2020-11-16 04:08:00,Flughafen München,2,Laim
2020-11-16 04:02:00,Flughafen München,3,Rosenheimer Platz
2020-11-16 03:04:00,Flughafen München,0,Ostbahnhof München
2020-11-16 00:44:00,Flughafen München,3,Ostbahnhof München
2020-11-16 04:10:00,Flughafen München,1,Hirschgarten
2020-11-16 04:12:00,Flughafen München,1,Donnersbergerbrücke
2020-11-16 05:20:00,Flughafen München,0,Westkreuz
2020-11-16 05:38:00,Flughafen München,2,Unterföhring
2020-11-18 20:13:00,Flughafen München,0,Hackerbrücke
2020-11-16 01:37:00,Flughafen München,0,Karlsplatz
2020-11-16 03:24:00,Flughafen München,0,Ostbahnhof München
2020-11-16 02:57:00,Flughafen München,0,Karlsplatz
2020-11-16 03:44:00,Flughafen München,1,Ostbahnhof München
2020-11-16 04:13:00,Flughafen München,3,Hackerbrücke
2020-11-16 05:31:00,Flughafen München,1,Germering-Unterpfaffenhofen
2020-11-16 08:05:00,Flughafen München,1,Geisenbrunn
2020-11-16 02:44:00,Flughafen München,0,Ostbahnhof München
2020-11-16 05:15:00,Flughafen München,0,Johanneskirchen
2020-11-16 02:58:00,Flughafen München,1,Unterföhring
2020-11-16 03:37:00,Flughafen München,1,Karlsplatz
2020-11-16 04:19:00,Flughafen München,1,Marienplatz
2020-11-16 04:04:00,Flughafen München,0,Ostbahnhof München
2020-11-16 04:22:00,Flughafen München,3,Rosenheimer Platz
2020-11-16 07:51:00,Flughafen München,3,Daglfing
2020-11-16 07:53:00,Flughafen München,2,Englschalking
2020-11-16 02:53:00,Flughafen München,1,Englschalking
2020-11-16 03:57:00,Flughafen München,0,Karlsplatz
2020-11-16 05:06:00,Flughafen München,1,Leuchtenbergring
2020-11-16 04:53:00,Flughafen München,8,Flughafen Besucherpark
2020-11-16 05:17:00,Flughafen München,0,Karlsplatz
2020-11-16 07:05:00,Flughafen München,0,Herrsching
2020-11-16 04:25:00,Flughafen München,0,Pasing
2020-11-16 04:20:00,Flughafen München,2,Isartor
2020-11-16 05:22:00,Flughafen München,1,Ismaning
2020-11-16 05:48:00,Flughafen München,1,Hallbergmoos
2020-11-16 05:58:00,Flughafen München,1,Unterföhring
2020-11-16 08:13:00,Flughafen München,7,Englschalking
2020-11-16 04:30:00,Flughafen München,0,Hirschgarten
2020-11-16 03:43:00,Flughafen München,0,Gilching-Argelsried
2020-11-16 05:35:00,Flughafen München,0,Flughafen Besucherpark
2020-11-16 04:28:00,Flughafen München,1,Laim
2020-11-16 04:15:00,Flughafen München,4,Hauptbahnhof
2020-11-16 06:23:00,Flughafen München,2,Gilching-Argelsried
2020-11-16 08:31:00,Flughafen München,1,Daglfing
2020-11-16 08:33:00,Flughafen München,1,Englschalking
2020-11-17 11:14:00,Flughafen München,0,Harthaus
2020-11-16 07:37:00,Flughafen München,0,Karlsplatz
2020-11-16 04:33:00,Flughafen München,0,Hackerbrücke
2020-11-16 14:25:00,Flughafen München,0,Herrsching
2020-11-16 04:05:00,Flughafen München,0,Pasing
2020-11-16 04:17:00,Flughafen München,2,Karlsplatz
2020-11-16 06:08:00,Flughafen München,0,Hallbergmoos
2020-11-16 05:56:00,Flughafen München,1,Freiham
2020-11-16 07:53:00,Flughafen München,2,Hackerbrücke
2020-11-16 08:51:00,Flughafen München,1,Daglfing
2020-11-16 04:32:00,Flughafen München,0,Donnersbergerbrücke
2020-11-16 06:53:00,Flughafen München,0,Steinebach
2020-11-16 04:24:00,Flughafen München,3,Ostbahnhof München
2020-11-16 07:01:00,Flughafen München,1,Neugilching
2020-11-16 05:35:00,Flughafen München,1,Johanneskirchen
2020-11-16 04:42:00,Flughafen München,0,Rosenheimer Platz
2020-11-16 04:40:00,Flughafen München,0,Isartor
2020-11-16 05:53:00,Flughafen München,2,Flughafen Besucherpark
2020-11-16 08:25:00,Flughafen München,2,Geisenbrunn
2020-11-16 04:50:00,Flughafen München,0,Hirschgarten
2020-11-16 04:39:00,Flughafen München,0,Marienplatz
2020-11-16 04:18:00,Flughafen München,1,Unterföhring
2020-11-16 04:35:00,Flughafen München,1,Hauptbahnhof
2020-11-16 09:13:00,Flughafen München,0,Englschalking
2020-11-16 04:45:00,Flughafen München,0,Pasing
2020-11-16 04:37:00,Flughafen München,0,Karlsplatz
